SITE: https://healthbyro.report-uri.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 0 same-origin, 4 cross-origin
SITE: https://eskridgelexus.com | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(93) | SCRIPTS: 0 same-origin, 93 cross-origin
SITE: https://www.glassdoor.ca | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(10),SensitiveForms | SCRIPTS: 26 same-origin, 10 cross-origin
SITE: https://premieramerica.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(9),SensitiveForms | SCRIPTS: 8 same-origin, 9 cross-origin
SITE: https://www.primelocation.com | RISK LEVEL: LOW | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(15) | SCRIPTS: 0 same-origin, 15 cross-origin
SITE: https://www.purehockey.com | RISK LEVEL: LOW | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(6) | SCRIPTS: 0 same-origin, 6 cross-origin
SITE: https://geminiadvisory.io | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(6),PostMessage | SCRIPTS: 7 same-origin, 6 cross-origin
SITE: https://research.chop.edu | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(3) | SCRIPTS: 91 same-origin, 3 cross-origin
SITE: https://a0781e072b3732e31829fca5ce9a282a.report-uri.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 0 same-origin, 4 cross-origin
SITE: https://app.pluralsight.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(5),SensitiveForms | SCRIPTS: 0 same-origin, 5 cross-origin
SITE: https://watchcharts.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(11) | SCRIPTS: 4 same-origin, 11 cross-origin
SITE: https://www.debijenkorf.nl | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(15) | SCRIPTS: 2 same-origin, 15 cross-origin
SITE: https://launcher.store.epicgames.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(8) | SCRIPTS: 0 same-origin, 8 cross-origin
SITE: https://nrdc.report-uri.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 0 same-origin, 4 cross-origin
SITE: https://wiwo.report-uri.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 0 same-origin, 4 cross-origin
SITE: https://gworld.gwu.edu | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(7) | SCRIPTS: 10 same-origin, 7 cross-origin
SITE: https://or.tide.cambiumast.com | RISK LEVEL: LOW | PROTECTIONS: none | RISKS: InlineJS,XOrigin(1) | SCRIPTS: 0 same-origin, 1 cross-origin
SITE: https://www.pickleheads.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,Framework | RISKS: InlineJS,InlineCSS,XOrigin(9) | SCRIPTS: 26 same-origin, 9 cross-origin
SITE: https://quirkworkssubaru.com | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(79) | SCRIPTS: 0 same-origin, 79 cross-origin
SITE: https://www.mobexer.com | RISK LEVEL: LOW | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 0 same-origin, 4 cross-origin
SITE: https://care.headway.co | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Framework | RISKS: InlineJS,InlineCSS,Eval,XOrigin(3) | SCRIPTS: 12 same-origin, 3 cross-origin
SITE: https://locanto.com | RISK LEVEL: LOW | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(14) | SCRIPTS: 0 same-origin, 14 cross-origin
SITE: https://www.futurelearn.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(2) | SCRIPTS: 23 same-origin, 2 cross-origin
SITE: https://www.allsaints.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(12),SensitiveForms | SCRIPTS: 4 same-origin, 12 cross-origin
SITE: https://mke.com.bd | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4),SensitiveForms | SCRIPTS: 142 same-origin, 4 cross-origin
SITE: https://stockcake.com | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(6) | SCRIPTS: 9 same-origin, 6 cross-origin
SITE: https://www.spokanetransit.com | RISK LEVEL: MEDIUM | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(38),PostMessage | SCRIPTS: 1 same-origin, 38 cross-origin
SITE: https://www.jagonews24.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(8) | SCRIPTS: 0 same-origin, 8 cross-origin
SITE: https://www.capfed.com | RISK LEVEL: MINIMAL | PROTECTIONS: Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(44),SensitiveForms | SCRIPTS: 5 same-origin, 44 cross-origin
SITE: https://nlmoccs.report-uri.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 0 same-origin, 4 cross-origin
SITE: https://www.oddschecker.com | RISK LEVEL: MINIMAL | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(30) | SCRIPTS: 0 same-origin, 30 cross-origin
SITE: https://www.harddrivesdirect.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(6) | SCRIPTS: 1 same-origin, 6 cross-origin
